Word,Meaning
grand,"웅대한, 장엄한"
raw,날것의
odd,"홀수의, 이상한"
portable,휴대할 수 있는
awkward,"서투른, 어색한"
rarely,거의 ~아닌
directly,직접적으로
novel,"소설, 참신한"
universe,우주
grave,"무덤, 암울한"
laughter,웃음
crime,범죄
knee,무릎
prison,"감옥, 감금하다"
gym,체육관
blanket,"담요, 덮다"
equipment,"장비, 설비"
skin,피부
rope,밧줄
instance,"예, 사례"
refrigerator,냉장고
element,"요소, 성분"
production,생산
tradition,전통
honesty,정직
religion,종교
duty,의무
semester,학기
failure,실패
course,"과정, 강의"
rate,비율
flea,벼룩
progress,"진행, 진보"
plug,전기를 연결하다
trade,거래하다
ache,아픔
doubt,"의심, 의심하다"
handle,다루다
march,행진하다
pause,멈추다
delay,지연시키다
admire,감탄
satisfy,만족시키다
apologize,사과하다
misunderstand,오해하다
threaten,위협하다
scold,꾸짖다
arrest,체포하다
apply,적용하다
select,선택하다
drown,익사하다
narrow,"좁은, 좁히다"
broad,"넓은, 광범위한"
attractive,매력적인
cruel,잔인한
awful,"두려운, 불쾌한"
private,사적인
casual,격식 없는
